nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,213993437,8515767,America
Chile,19603733,756102,America
Uruguay,3426260,176215,America
Estados Unidos,331900000,9833520,America
Canada,40100000,9984670,America
España,48500000,505990,Europa
Francia,68000000,551695,Europa
Alemania,83149300,357022,Europa
Italia,58900000,301340,Europa
China,1412000000,9596961,Asia
India,1438000000,3287263,Asia
Japon,125800000,377975,Asia
Egipto,112700000,1002450,Africa
Australia,26700000,7692024,Oceania
